x_crd,y_crd,phi,
3.37742,1.33414,1.53315
3.37736,1.3343,1.53329
3.37729,1.33447,1.53344
3.37723,1.33463,1.53358
3.37716,1.3348,1.53373
3.3771,1.33496,1.53387
3.37704,1.33512,1.53402
3.37697,1.33528,1.53416
3.37691,1.33545,1.53431
3.37684,1.33561,1.53445
3.37678,1.33577,1.53459
3.37672,1.33593,1.53474
3.37665,1.33609,1.53488
3.37659,1.33625,1.53502
3.37653,1.33641,1.53516
3.37646,1.33657,1.53531
3.3764,1.33673,1.53545
3.37634,1.33689,1.53559
3.37627,1.33705,1.53573
3.37621,1.33721,1.53587
3.37615,1.33737,1.53601
3.37609,1.33752,1.53615
3.37602,1.33768,1.53629
3.37596,1.33784,1.53643
3.3759,1.338,1.53657
3.37584,1.33815,1.53671
3.37577,1.33831,1.53685
3.37571,1.33847,1.53699
3.37565,1.33862,1.53713
3.37559,1.33878,1.53727
3.37553,1.33893,1.5374
3.37547,1.33909,1.53754
3.37541,1.33924,1.53768
3.37534,1.33939,1.53781
3.37528,1.33955,1.53795
3.37522,1.3397,1.53809
3.37516,1.33986,1.53822
3.3751,1.34001,1.53836
3.37504,1.34016,1.5385
3.37498,1.34031,1.53863
3.37492,1.34046,1.53877
3.37486,1.34062,1.5389
3.3748,1.34077,1.53904
3.37474,1.34092,1.53917
3.37468,1.34107,1.5393
3.37462,1.34122,1.53944
3.37456,1.34137,1.53957
3.3745,1.34152,1.5397
3.37444,1.34167,1.53984
3.37438,1.34182,1.53997
3.37432,1.34197,1.5401
3.37426,1.34212,1.54023
3.3742,1.34226,1.54037
3.37414,1.34241,1.5405
3.37409,1.34256,1.54063
3.37403,1.34271,1.54076
3.37397,1.34286,1.54089
3.37391,1.343,1.54102
3.37385,1.34315,1.54115
3.37379,1.34329,1.54128
3.37374,1.34344,1.54141
3.37368,1.34359,1.54154
3.37362,1.34373,1.54167
3.37356,1.34388,1.5418
3.3735,1.34402,1.54193
3.37345,1.34417,1.54206
3.37339,1.34431,1.54218
3.37333,1.34445,1.54231
3.37327,1.3446,1.54244
3.37322,1.34474,1.54257
3.37316,1.34488,1.5427
3.3731,1.34503,1.54282
3.37305,1.34517,1.54295
3.37299,1.34531,1.54308
3.37293,1.34545,1.5432
3.37288,1.34559,1.54333
3.37282,1.34574,1.54345
3.37276,1.34588,1.54358
3.37271,1.34602,1.5437
3.37265,1.34616,1.54383
3.3726,1.3463,1.54395
3.37254,1.34644,1.54408
3.37248,1.34658,1.5442
3.37243,1.34672,1.54433
3.37237,1.34686,1.54445
3.37232,1.347,1.54457
3.37226,1.34713,1.5447
3.37221,1.34727,1.54482
3.37215,1.34741,1.54494
3.3721,1.34755,1.54506
3.37204,1.34769,1.54519
3.37199,1.34782,1.54531
3.37193,1.34796,1.54543
3.37188,1.3481,1.54555
3.37182,1.34823,1.54567
3.37177,1.34837,1.54579
3.37172,1.3485,1.54592
3.37166,1.34864,1.54604
3.37161,1.34877,1.54616
3.37155,1.34891,1.54628
3.3715,1.34904,1.5464
3.37145,1.34918,1.54652
3.37139,1.34931,1.54663
3.37134,1.34945,1.54675
3.37128,1.34958,1.54687
3.37123,1.34971,1.54699
3.37118,1.34985,1.54711
3.37113,1.34998,1.54723
3.37107,1.35011,1.54735
3.37102,1.35024,1.54746
3.37097,1.35038,1.54758
3.37091,1.35051,1.5477
3.37086,1.35064,1.54781
3.37081,1.35077,1.54793
3.37076,1.3509,1.54805
3.3707,1.35103,1.54816
3.37065,1.35116,1.54828
3.3706,1.35129,1.5484
3.37055,1.35142,1.54851
3.37049,1.35155,1.54863
3.37044,1.35168,1.54874
3.37039,1.35181,1.54886
3.37034,1.35194,1.54897
3.37029,1.35207,1.54909
3.37024,1.3522,1.5492
3.37019,1.35232,1.54931
3.37013,1.35245,1.54943
3.37008,1.35258,1.54954
3.37003,1.35271,1.54965
3.36998,1.35283,1.54977
3.36993,1.35296,1.54988
3.36988,1.35309,1.54999
3.36983,1.35321,1.55011
3.36978,1.35334,1.55022
3.36973,1.35346,1.55033
3.36968,1.35359,1.55044
3.36963,1.35371,1.55055
3.36958,1.35384,1.55066
3.36953,1.35396,1.55078
3.36948,1.35409,1.55089
3.36943,1.35421,1.551
3.36938,1.35434,1.55111
3.36933,1.35446,1.55122
3.36928,1.35458,1.55133
3.36923,1.35471,1.55144
3.36918,1.35483,1.55155
3.36913,1.35495,1.55166
3.36908,1.35508,1.55176
3.36903,1.3552,1.55187
3.36898,1.35532,1.55198
3.36893,1.35544,1.55209
3.36888,1.35556,1.5522
3.36883,1.35568,1.55231
3.36879,1.35581,1.55241
3.36874,1.35593,1.55252
3.36869,1.35605,1.55263
3.36864,1.35617,1.55274
3.36859,1.35629,1.55284
3.36854,1.35641,1.55295
3.3685,1.35653,1.55306
3.36845,1.35665,1.55316
3.3684,1.35676,1.55327
3.36835,1.35688,1.55337
3.3683,1.357,1.55348
3.36826,1.35712,1.55359
3.36821,1.35724,1.55369
3.36816,1.35736,1.5538
3.36811,1.35747,1.5539
3.36807,1.35759,1.554
3.36802,1.35771,1.55411
3.36797,1.35783,1.55421
3.36793,1.35794,1.55432
3.36788,1.35806,1.55442
3.36783,1.35817,1.55452
3.36778,1.35829,1.55463
3.36774,1.35841,1.55473
3.36769,1.35852,1.55483
3.36764,1.35864,1.55494
3.3676,1.35875,1.55504
3.36755,1.35887,1.55514
3.36751,1.35898,1.55524
3.36746,1.3591,1.55535
3.36741,1.35921,1.55545
3.36737,1.35932,1.55555
3.36732,1.35944,1.55565
3.36728,1.35955,1.55575
3.36723,1.35966,1.55585
3.36718,1.35978,1.55595
3.36714,1.35989,1.55605
3.36709,1.36,1.55615
3.36705,1.36011,1.55625
3.367,1.36023,1.55635
3.36696,1.36034,1.55645
3.36691,1.36045,1.55655
3.36687,1.36056,1.55665
3.36682,1.36067,1.55675
3.36678,1.36078,1.55685
3.36673,1.36089,1.55695
3.36669,1.36101,1.55705
3.36664,1.36112,1.55714
3.3666,1.36123,1.55724
3.36656,1.36134,1.55734
3.36651,1.36144,1.55744
3.36647,1.36155,1.55754
3.36642,1.36166,1.55763
3.36638,1.36177,1.55773
3.36633,1.36188,1.55783
3.36629,1.36199,1.55792
3.36625,1.3621,1.55802
3.3662,1.36221,1.55812
3.36616,1.36231,1.55821
3.36612,1.36242,1.55831
3.36607,1.36253,1.5584
3.36603,1.36264,1.5585
3.36599,1.36274,1.5586
3.36594,1.36285,1.55869
3.3659,1.36296,1.55879
3.36586,1.36306,1.55888
3.36581,1.36317,1.55898
3.36577,1.36328,1.55907
3.36573,1.36338,1.55916
3.36568,1.36349,1.55926
3.36564,1.36359,1.55935
3.3656,1.3637,1.55945
3.36556,1.3638,1.55954
3.36551,1.36391,1.55963
3.36547,1.36401,1.55973
3.36543,1.36412,1.55982
3.36539,1.36422,1.55991
3.36535,1.36432,1.56
3.3653,1.36443,1.5601
3.36526,1.36453,1.56019
3.36522,1.36463,1.56028
3.36518,1.36474,1.56037
3.36514,1.36484,1.56046
3.36509,1.36494,1.56055
3.36505,1.36504,1.56065
3.36501,1.36515,1.56074
3.36497,1.36525,1.56083
3.36493,1.36535,1.56092
3.36489,1.36545,1.56101
3.36485,1.36555,1.5611
3.36481,1.36565,1.56119
3.36476,1.36575,1.56128
3.36472,1.36586,1.56137
3.36468,1.36596,1.56146
3.36464,1.36606,1.56155
3.3646,1.36616,1.56164
3.36456,1.36626,1.56173
3.36452,1.36636,1.56182
3.36448,1.36646,1.56191
3.36444,1.36656,1.56199
3.3644,1.36665,1.56208
3.36436,1.36675,1.56217
3.36432,1.36685,1.56226
3.36428,1.36695,1.56235
3.36424,1.36705,1.56243
3.3642,1.36715,1.56252
3.36416,1.36724,1.56261
3.36412,1.36734,1.5627
3.36408,1.36744,1.56278
3.36404,1.36754,1.56287
3.364,1.36763,1.56296
3.36396,1.36773,1.56304
3.36392,1.36783,1.56313
